Key,FR,EN
kiosk.new_email,Adresse e-mail,Email address
kiosk.new_name,Prénom,First name
kiosk.new_newsletter,Inscription à la newsletter,Newsletter subscription
kiosk.new_newsletter_desc,L'usager accepte de recevoir la newsletter et les actualités du Fablab par e-mail.,The user agrees to receive Fablab newsletters and updates via email.
kiosk.new_rfid,Numéro de badge RFID (UID),RFID badge number (UID)
kiosk.new_surname,Nom,Last name
kiosk.new_usertype,Type d'usager,User type
kiosk.register_user_subtitle,Badgez ou recherchez un usager existant pour ouvrir sa session au Fablab,Scan RFID card or search an existing user to open their Fablab session
kiosk.register_user_title,Enregistrer un usager,Register a user
kiosk.repair_badge,Réparation,Repair
kiosk.subtitle,Suivez l'activité de votre fablab,Track your fablab's activity
kiosk.switch_to_create,Créer un nouvel usager,Create a new user
kiosk.switch_to_search,Basculer vers la recherche,Switch to search
kiosk.th_activity,Activité,Activity
kiosk.th_arrival,Arrivée,Arrival
kiosk.th_comments,Commentaires,Comments
kiosk.th_exit,Sortie,Exit
kiosk.th_user,Usager,User
kiosk.th_warnings_balance,Avertissements / Solde,Warnings / Balance
kiosk.title,FabtrackJS,FabtrackJS
kiosk.tooltip_add_comment,Ajouter un commentaire,Add comment
kiosk.tooltip_edit_comment,Modifier le commentaire,Edit comment
kiosk.users_present,usagers actuellement présents,users currently present
kiosk.workshop_badge,Atelier,Workshop
machines.action_delete,Supprimer,Delete
machines.action_edit,Modifier,Edit
machines.action_history,Historique d'utilisation,Usage History
machines.action_view,Voir la fiche,View Details
machines.btn_create,Créer la machine,Create Machine
machines.btn_update,Enregistrer les modifications,Update Machine
machines.col_access,Niveau d'accès,Access Level
machines.col_actions,Actions,Actions
machines.col_category,Catégorie,Category
machines.col_location,Emplacement,Location
machines.col_name,Nom,Name
machines.col_type,Type,Type
machines.confirm_delete,Êtes-vous sûr de vouloir supprimer cette machine ?,Are you sure you want to delete this machine?
machines.create_title,Nouvelle machine,Create New Machine
machines.field_access,Niveau d'accès :,Access Level:
machines.field_category,Catégorie :,Category:
machines.field_documentation,URL de documentation (optionnel) :,Documentation URL (optional):
machines.field_internal_ref,Référence interne (#) :,Internal Reference (#):
machines.field_last_maintenance,Dernière maintenance :,Last Maintenance:
machines.field_location,Emplacement :,Location:
machines.field_make,Marque / Fabricant :,Make / Manufacturer:
machines.field_model,Modèle :,Model:
machines.field_name,Nom de la machine (optionnel) :,Machine Name (optional):
machines.field_picture,Photo de la machine (optionnel) :,Machine Picture (optional):
machines.field_purchase_date,Date d'achat :,Purchase Date:
machines.field_serial,Numéro de série :,Serial Number:
machines.field_type,Type :,Type:
machines.field_warranty_expiry,Expiration de garantie :,Warranty Expiry:
machines.no_category,(Sans catégorie),(No category)
machines.select_access,Sélectionner un niveau d'accès,Select access level
machines.select_location,Sélectionner un emplacement (optionnel),Select location (optional)
machines.select_type,Sélectionner un type,Select type
nav.active_session,Session active,Active session
nav.admin,Panneau Admin,Admin Panel
nav.admin_panel,Panneau Admin,Admin Panel
nav.current_workspace,Espace actuel,Current Workspace
nav.fablab_space,Espace Fablab,Fablab Space
nav.general_settings,Configuration générale,General Settings
nav.kiosk,Kiosque Fabtrack,Fabtrack Kiosk
nav.kiosk_station,Borne Kiosque,Kiosk Station
nav.language,Langue,Language
nav.login,Connexion,Log In
nav.logout,Déconnexion,Log Out
nav.mediator,Médiateur,Mediator
nav.navigation,Navigation,Navigation
nav.profile,Mon Profil,My Profile
nav.report_bug,Signaler un bug,Report a Bug
nav.report_issue,Signaler une panne,Report Issue
nav.switch_language,Changer de langue,Switch Language
nav.switch_workspace,Changer d'espace,Switch Workspace
nav.ue_billing,UE & Facturation Sorbonne,Academic courses & billing
profile.account_created_on,Compte créé le,Account created on
profile.birth_year,Année de naissance,Birth Year
profile.comments,Commentaires,Comments
profile.email,Adresse e-mail,Email Address
profile.expert_user,Utilisateur expert (distinction à l'appréciation du staff),Expert User (staff discretion)
profile.expert_user_desc,Attribue le statut d'utilisateur expert. Ce badge sera le seul affiché dans la liste des personnes présentes sur le kiosque.,Assigns expert status. This badge will be shown on the kiosk list.
profile.first_name,Prénom,First Name
profile.last_name,Nom,Last Name
profile.newsletter,Inscription à la newsletter,Newsletter Subscription
profile.newsletter_desc,Recevoir la newsletter et les actualités du Fablab par e-mail.,Receive newsletter and Fablab news via email.
profile.rfid_badge,Numéro de badge RFID (UID),RFID Badge Number (UID)
profile.update_profile,Mettre à jour le profil,Update Profile
profile.user_stats,Statistiques de l'usager,User Statistics
profile.user_type,Type d'usager,User Type
settings.admin_email_desc,Reçoit les demandes de validation de nouveaux comptes staff et alertes.,Receives staff registration approval requests and system alerts.
settings.back_admin,Retour panneau admin,Back to admin panel
settings.currency_desc,"Symbole monétaire utilisé pour la facturation des consommables (ex : €, $, CHF).","Currency symbol used for consumable invoicing (e.g. €, $, CHF)."
settings.export_csv_btn,Télécharger le tableur CSV (traductions actuelles),Download CSV Spreadsheet (current translations)
settings.favicon_active,Favicon :,Favicon:
settings.favicon_desc,Apparaît sur l'onglet de votre navigateur et dans les favoris.,Appears on your browser tab and bookmarks.
settings.field_admin_email,Email administrateur,Administrator Email
settings.field_currency,Symbole monétaire,Currency Symbol
settings.field_date_format,Format d'affichage des dates,Date display format
settings.field_date_format_desc,"Définit le format de date utilisé dans l'historique, les fiches usagers et les exports.","Sets the date format used across history, user profiles, and exports."
settings.field_default_lang,Langue par défaut du kiosque,Default Kiosk Language
settings.field_favicon,Favicon (icône du navigateur),Favicon (browser tab icon)
settings.field_logo,Logo de la plateforme,Platform Logo
settings.field_platform_name,Nom de la plateforme,Platform Name
settings.field_platform_name_desc,"Affiché en grand sur le kiosque, l'en-tête et les onglets.","Displayed prominently on the kiosk, header, and browser tabs."
settings.field_platform_subtitle,Slogan / Sous-titre,Tagline / Subtitle
settings.field_platform_subtitle_desc,"Accroche située sous le nom (ex: ""Track your fablab's activity"").","Catchphrase displayed below the name (e.g. ""Track your fablab's activity"")."
settings.field_self_registration,Inscription en autonomie au kiosque,Kiosk Self-Registration
settings.field_session_timeout,Expiration des sessions (Timeout),Session Timeout
settings.i18n_desc,"La plateforme supporte le multilingue. Vous pouvez exporter toutes les phrases au format CSV pour les traduire dans Excel ou Google Sheets, puis les réimporter.","The platform supports multiple languages. You can export all texts as a CSV spreadsheet to edit them in Excel or Google Sheets, then re-import."
settings.import_csv_btn,Importer un tableur CSV,Import CSV Spreadsheet
settings.import_csv_desc,Les nouvelles traductions seront appliquées immédiatement sur l'application.,Updated translations will take effect immediately across the application.
settings.import_csv_label,Téléverser un fichier translations.csv :,Upload a translations.csv file:
settings.logo_custom,Logo personnalisé,Custom Logo
settings.logo_default,Logo Sorbonne Université (SVG par défaut),Sorbonne University Logo (Default SVG)
settings.logo_official_active,Logo officiel vectoriel actif,Official vector logo active
settings.logo_preview,Aperçu du logo actuel :,Current logo preview:
settings.plugins_desc,Activez ou désactivez les fonctionnalités spécifiques selon le contexte de votre fablab. Les modifications prennent effet immédiatement.,Enable or disable specific features to fit your fablab's workflow. Changes take effect immediately.
settings.reset_favicon,Rétablir le favicon par défaut,Restore default favicon
settings.reset_logo,Rétablir le logo Sorbonne par défaut,Restore default Sorbonne logo
settings.save_changes,Enregistrer les modifications,Save Changes
settings.section_brand,Identité & Marque,Identity & Brand
settings.section_brand_title,Logo et Intitulés,Logo & Titles
settings.section_i18n,Langues & Internationalisation,Languages & Internationalization
settings.section_i18n_title,Traductions & Tableur CSV,Translations & CSV Spreadsheet
settings.section_plugins,Extensions,Extensions
settings.section_plugins_title,Gestion des Plugins,Plugin Management
settings.section_preferences,Atelier,Workshop
settings.section_preferences_title,Préférences Générales du Fablab,General Fablab Preferences
settings.section_security,Sécurité,Security
settings.section_security_title,Sessions & Authentification,Sessions & Authentication
settings.self_registration_desc,Permet aux usagers de créer leur propre profil en arrivant au fablab.,Allows users to create their own profile upon arrival at the fablab.
settings.self_registration_disabled,Désactivée (Création uniquement par un staff),Disabled (Registration by staff only)
settings.self_registration_enabled,Autorisée (Formulaire création visible au kiosque),Enabled (Registration form visible at kiosk)
settings.session_timeout_desc,Durée maximale d'inactivité avant déconnexion automatique du staff.,Maximum inactivity time before automatic staff logout.
settings.subtitle,"Identité visuelle, modules, sécurité et préférences du fablab","Visual identity, modules, security, and fablab preferences"
settings.system_badge,Système,System
settings.title,Configuration générale,General Settings
settings.upload_favicon,"Téléverser un favicon (.ico, .png, .svg) :","Upload a favicon (.ico, .png, .svg):"
settings.upload_logo,"Téléverser une nouvelle image (PNG, JPG, SVG, WebP — max 3 Mo) :","Upload a new image (PNG, JPG, SVG, WebP — max 3 MB):"
settings.section_ai,Intelligence Artificielle,Artificial Intelligence
settings.section_ai_title,Requêtes Statistiques en Langage Naturel (Text-to-SQL),Natural Language Statistical Queries (Text-to-SQL)
settings.ai_desc,"Permet aux administrateurs d'interroger la base de données en langage naturel (ex: 'Combien d'usagers ne sont venus qu'une seule fois ?') depuis la page de statistiques. Seul le schéma de la base est transmis au modèle : aucune donnée personnelle n'est envoyée.","Allows administrators to query the database using natural language (e.g., 'How many users visited only once?') from the statistics page. Only the database schema is sent to the model: no personal data is transmitted."
users_manage.col_actions,Actions,Actions
users_manage.col_charter,Charte,Charter
users_manage.col_email,Adresse e-mail,Email
users_manage.col_type,Type d'usager,Type
users_manage.col_username,Nom & Prénom,User Name
